,rule_title,rule_text
1050,"Cummings, EE","US poet (1894-1962) who, despite what many people think, used capitals in his signature – so don’t call him “ee cummings”"
1051,"Cup, FA",after first mention it is the Cup; but other cups are lc on second mention
1052,cupful,"The plural is cupfuls, as with spoonfuls, but it’s three cups full, three spoons full"
1053,curate’s egg,"Used nowadays to mean good in parts (“this was a curate’s egg of a match”), the expression originally, and more subtly, meant to deliberately gloss over the truth – the curate was trying to spare his bishop’s feelings, or perhaps his own embarrassment, when served a bad egg, by saying: “Oh no, My Lord, I assure you! Parts of it are excellent!” (cartoon in Punch, 9 November 1895)"
1054,curb,restrain; kerb pavement
1055,currencies,"for most currencies – for example yen, yuan, afghani – we spell out the full name rather than use a symbol or abbreviation, eg 100 yuan, 100,000 yen. Exceptions are the pound, the euro and dollars. For currencies we habitually refer to with their nationality, such as Swiss francs, you don’t need to keep repeating the nationality or, indeed, to state it at all if it is clear from the context whose currency you are referring to – just say 100 francs.

Whenever the whole word for a currency is used it is lc: euro, pound, sterling, dong, etc. Abbreviate dollars like this: $50 (US dollars); A$50 (Australian dollars); HK$50 (Hong Kong dollars); C$50 (Canadian dollars). In stories where there may be confusion between US dollars and the local dollar, say US$ for clarity.

Convert all foreign amounts to sterling in brackets at first mention, but use common sense – there is no need to put £500,000 in brackets after the phrase “I feel like a million dollars.”

Take care when converting old money to new: some of our attempts have been meaningless, in that they have ignored the relative value of sums involved. We said in an obituary, for example, that Ronnie Barker was paid £1 9s (£1.45) a week for his first job in 1947 – a comparison of average earnings would convert that to around £113 today.

Similarly, in converting the price of a “four shilling dish of rice and vegetables” in 1967 to 20p in today’s money we forgot to allow for its relative value; taking into account changes in the retail price index it would now be worth £2.23.

There are some excellent websites to assist with such conversions"
1056,currently,"“now” is usually preferable, if needed at all"
1057,cusp,"a place where two points meet (eg “on the cusp of Manchester and Salford”, “on the cusp of Taurus and Gemini”), which may be extended metaphorically to a place or time where two things or groups of things come into contact, as in this elegant example from the Review: “It was a world caught on the cusp between postwar recession, stasis and a dying moral code, and the colour, mobility and licence of the 60s.”

Writers who use cusp under the impression that it is a clever way to say on the brink of or about to (“on the cusp of adolescence”, “on the cusp of the final”, “tanker drivers are on the cusp of striking over a coming supermarket-led cut in their wages”, “the garlic was on the cusp of bursting into a constellation of white stars”) are, sadly, mistaken"
1058,custody,no longer used in cases involving the care of children; use child arrangements or residence instead
1059,"Customs, Revenue & Customs",(singular) but customs officers
1060,cutbacks,avoid; cuts will suffice
1061,C-word,"can be spelt out in full, but should be used only when relevant (for example in the trial of a footballer accused of calling a rival player a “black cunt”)"
1062,"cyberbully, cybercafe, cybercrime, cyberlocker, cybernetics, cyberpunk, cybersecurity, cybersex, cyberspace, cyberterrorism, cyberwar",
1063,"cyber-army, cyber-attack",
1064,Cyprus,"Cyprus, properly known as the Republic of Cyprus, joined the EU in 2004, 30 years after Turkey invaded the northern part of the island, which should be referred to as “Turkish-occupied northern Cyprus” (the self-styled “Turkish Republic of Northern Cyprus” is recognised only by Turkey)"
1065,the Czech Republic,
1066,dachshund,
1067,Dad or dad?,"capital D if it’s just Dad, eg “I’ll have to ask Dad”; otherwise lowercase, eg “my dad was a dustman, what does your dad do?” etc"
1068,"dadaism, dadaist",
1069,Dáil Éireann,"lower house of parliament in the Republic of Ireland, normally just the Dáil"
1070,DaimlerChrysler,
1071,Dakar,capital of Senegal; Dhaka capital of Bangladesh
1072,dal,not dhal
1073,Dalai Lama,no abbreviation: he is always the Dalai Lama
1074,Dalek,"takes initial cap, whether used literally (as in referring to Doctor Who), or figuratively (as in describing, say, your boss)"
1075,"Dalí, Salvador",(1904-89) Spanish surrealist
1076,dancefloor,one word (thanks to Arctic Monkeys for this one)
1077,dangling participles,"(also known as hanging participles)

Avoid constructions such as “having died, they buried him”; the pitfalls are nicely highlighted in Mark Lawson’s novel Going Out Live, in which a TV critic writes: “Dreary, repetitive and well past the sell-by date, I switched off the new series of Fleming Faces.”

Another example, from a leading article: “Due out in January as a white paper, Ms Kelly may be unable to overcome Mr Blair’s apparent determination to stick with A-levels.”

And this particularly exotic dangling participle somehow found its way into the paper: “Though long-legged and possessing a lovely smile, gentleman journalists aren’t looking up her skirt and wouldn’t even if she weren’t gay”"
1078,danish pastry,
1079,Deraa,"Syrian city, 90km from Damascus, not to be confused with Darayya , a suburb of Damascus, also sometimes described as a city"
1080,Dar es Salaam,
1081,dark ages,
1082,darknet,
1083,dashcam,
1084,dashes,"A single dash can add a touch of drama – like this. But use sparingly.

A pair of dashes are an alternative to commas or brackets for parenthesis when you want to draw the reader’s attention to something surprising or unusual. An example from the paper of how not to do it: “Many neighbours in the block – which sits close to the banks of the Thames – were visibly shaken.” The block’s innocuous location does not need underlining with dashes. Commas would suffice.

Beware sentences – such as this one – that dash about all over the place – commas (or even, very occasionally, brackets) are often better; semicolons also have their uses.

Dashes should be en dashes rather than em dashes or hyphens"
